experiment_version,ID,trial,condition,sentence,response,ACC,RT
trog_javitott,FF211,15.0,gramm,"A felhő, ami előtt a madár van, az lila.",3,0,5.3973
trog_javitott,FF211,5.0,gramm,"A pöttyös labda nagyobb, mint a csíkos kancsó",2,1,4.1211
trog_javitott,FF211,2.0,gramm,A kisfiú palacsintát süt a bohócnak.,1,1,4.1662
trog_javitott,FF211,7.0,gramm,A zöld csésze a kockás vödör fölött van.,3,0,5.0316
trog_javitott,FF211,10.0,gramm,"A boszorkány, aki a seprűn lovagol, ellopta a nyakláncot.",3,1,6.3689
trog_javitott,FF211,0.0,gramm,"A hal kék, de nem pöttyös.",1,1,2.5393
trog_javitott,FF211,3.0,gramm,A kecskét a kakas kergeti.,2,1,4.4684
trog_javitott,FF211,12.0,gramm,"A sárkány, aki a szekrény mögé bújt, csokit eszik.",4,1,6.5959
trog_javitott,FF211,4.0,gramm,A lány az ágyon ugrál és a macska a szőnyegen fekszik.,2,1,3.5584
trog_javitott,FF211,6.0,gramm,A sárga táska a zöld széken van,3,1,4.5528
trog_javitott,FF211,9.0,gramm,"A szív, ami a négyzetben van, az pöttyös.",1,0,3.858
trog_javitott,FF211,1.0,gramm,"A zsiráfnak van egy hosszú, kockás, fekete-fehér nyakkendője.",4,1,6.378
trog_javitott,FF211,17.0,gramm,"A bohóc alszik, de az elefánt nem.",2,1,4.3316
trog_javitott,FF211,8.0,gramm,"A fiú, aki megpuszilja a lányt, az barna hajú.",4,1,3.8835
trog_javitott,FF211,16.0,gramm,"A róka, amit a malac kerget, az kicsi.",4,1,6.5956
trog_javitott,FF211,14.0,gramm,"A lány azt a macskát kergeti, ami kövér.",2,1,4.4197
trog_javitott,FF211,11.0,gramm,"A kislány, aki a busz elejénél áll, piros szoknyában van.",4,1,4.2918
trog_javitott,FF211,13.0,gramm,"A könyv azon a tányéron van, ami kék.",2,1,3.7496
trog_javitott,FF211,10.0,pragm,A fiú már elkészült a homokvárral.,1,0,4.5801
trog_javitott,FF211,13.0,pragm,A fiú a békát is megfogta.,4,1,4.2365
trog_javitott,FF211,1.0,pragm,A szarvas a tévét szereli meg.,1,1,5.8204
trog_javitott,FF211,0.0,pragm,A malac locsolja meg a fát.,4,1,4.5649
trog_javitott,FF211,16.0,pragm,"De ügyes vagy, hogy eltörted a poharat.",1,1,9.5988
trog_javitott,FF211,5.0,pragm,Julcsi húga nagyon nyuszi volt a mikulásünnepségen.,1,1,6.871
trog_javitott,FF211,2.0,pragm,A szoba egy rettenetes disznóól.,4,1,3.7649
trog_javitott,FF211,12.0,pragm,A malac is felmászott a fára.,1,1,4.029
trog_javitott,FF211,4.0,pragm,Pisti egy igazi éjszakai bagoly.,3,1,4.3616
trog_javitott,FF211,3.0,pragm,A hegedűtanár egy sárkány.,2,1,4.2484
trog_javitott,FF211,8.0,pragm,Néhány alma kigurult a kosárból.,1,1,3.7375
trog_javitott,FF211,11.0,pragm,A virágot már kiszínezte a bohóc.,3,0,4.2968
trog_javitott,FF211,7.0,pragm,A legtöbb malac kapott kukoricát,3,0,3.3951
trog_javitott,FF211,14.0,pragm,Piros lufit minden gyerek kapott.,3,1,2.8148
trog_javitott,FF211,17.0,pragm,"Látom, lustálkodtál egész nap, meg is telt a kosár.",2,1,7.9704
trog_javitott,FF211,6.0,pragm,A kislánynak van legalább 3 kutyája.,2,0,7.7064
trog_javitott,FF211,15.0,pragm,Kalapja a libának is van.,2,0,0.0004
trog_javitott,FF211,9.0,pragm,A festő rajzolt egy házat.,2,1,4.1827
trog_javitott,FF156,4.0,gramm,A lány az ágyon ugrál és a macska a szőnyegen fekszik.,2,1,6.18
trog_javitott,FF156,15.0,gramm,"A felhő, ami előtt a madár van, az lila.",1,0,4.8268
trog_javitott,FF156,11.0,gramm,"A kislány, aki a busz elejénél áll, piros szoknyában van.",3,0,10.6218
trog_javitott,FF156,9.0,gramm,"A szív, ami a négyzetben van, az pöttyös.",3,1,6.6989
trog_javitott,FF156,0.0,gramm,"A hal kék, de nem pöttyös.",1,1,3.5029
trog_javitott,FF156,5.0,gramm,"A pöttyös labda nagyobb, mint a csíkos kancsó",2,1,3.4264
trog_javitott,FF156,8.0,gramm,"A fiú, aki megpuszilja a lányt, az barna hajú.",4,1,8.3782
trog_javitott,FF156,12.0,gramm,"A sárkány, aki a szekrény mögé bújt, csokit eszik.",4,1,6.9212
trog_javitott,FF156,13.0,gramm,"A könyv azon a tányéron van, ami kék.",4,0,3.0975
trog_javitott,FF156,3.0,gramm,A kecskét a kakas kergeti.,2,1,4.8437
trog_javitott,FF156,17.0,gramm,"A bohóc alszik, de az elefánt nem.",2,1,6.8697
trog_javitott,FF156,7.0,gramm,A zöld csésze a kockás vödör fölött van.,4,1,4.9538
trog_javitott,FF156,2.0,gramm,A kisfiú palacsintát süt a bohócnak.,1,1,6.5205
trog_javitott,FF156,10.0,gramm,"A boszorkány, aki a seprűn lovagol, ellopta a nyakláncot.",3,1,3.9538
trog_javitott,FF156,16.0,gramm,"A róka, amit a malac kerget, az kicsi.",3,0,5.6424
trog_javitott,FF156,14.0,gramm,"A lány azt a macskát kergeti, ami kövér.",2,1,6.4817
trog_javitott,FF156,6.0,gramm,A sárga táska a zöld széken van,1,0,4.5403
trog_javitott,FF156,1.0,gramm,"A zsiráfnak van egy hosszú, kockás, fekete-fehér nyakkendője.",4,1,4.9192
trog_javitott,FF156,4.0,pragm,Pisti egy igazi éjszakai bagoly.,2,0,3.6908
trog_javitott,FF156,13.0,pragm,A fiú a békát is megfogta.,4,1,5.8863
trog_javitott,FF156,11.0,pragm,A virágot már kiszínezte a bohóc.,4,1,8.3029
trog_javitott,FF156,12.0,pragm,A malac is felmászott a fára.,1,1,3.6964
trog_javitott,FF156,8.0,pragm,Néhány alma kigurult a kosárból.,1,1,3.8604
trog_javitott,FF156,1.0,pragm,A szarvas a tévét szereli meg.,1,1,4.9248
trog_javitott,FF156,0.0,pragm,A malac locsolja meg a fát.,4,1,6.0482
trog_javitott,FF156,3.0,pragm,A hegedűtanár egy sárkány.,4,0,3.6541
trog_javitott,FF156,2.0,pragm,A szoba egy rettenetes disznóól.,1,0,3.2746
trog_javitott,FF156,5.0,pragm,Julcsi húga nagyon nyuszi volt a mikulásünnepségen.,4,0,0.6163
trog_javitott,FF156,16.0,pragm,"De ügyes vagy, hogy eltörted a poharat.",3,0,0.3126
trog_javitott,FF156,9.0,pragm,A festő rajzolt egy házat.,2,1,0.3095
trog_javitott,FF156,15.0,pragm,Kalapja a libának is van.,3,0,0.35
trog_javitott,FF156,6.0,pragm,A kislánynak van legalább 3 kutyája.,3,0,0.0473
trog_javitott,FF156,10.0,pragm,A fiú már elkészült a homokvárral.,2,1,0.0607
trog_javitott,FF156,17.0,pragm,"Látom, lustálkodtál egész nap, meg is telt a kosár.",2,1,0.1219
trog_javitott,FF156,7.0,pragm,A legtöbb malac kapott kukoricát,2,1,0.1447
trog_javitott,FF156,14.0,pragm,Piros lufit minden gyerek kapott.,3,1,0.3346
trog_javitott,BL211,11.0,gramm,"A kislány, aki a busz elejénél áll, piros szoknyában van.",4,1,5.101
trog_javitott,BL211,10.0,gramm,"A boszorkány, aki a seprűn lovagol, ellopta a nyakláncot.",1,0,5.489
trog_javitott,BL211,13.0,gramm,"A könyv azon a tányéron van, ami kék.",2,1,5.579
trog_javitott,BL211,4.0,gramm,A lány az ágyon ugrál és a macska a szőnyegen fekszik.,2,1,5.301
trog_javitott,BL211,16.0,gramm,"A róka, amit a malac kerget, az kicsi.",4,1,5.164
trog_javitott,BL211,7.0,gramm,A zöld csésze a kockás vödör fölött van.,4,1,4.307
trog_javitott,BL211,14.0,gramm,"A lány azt a macskát kergeti, ami kövér.",2,1,5.376
trog_javitott,BL211,9.0,gramm,"A szív, ami a négyzetben van, az pöttyös.",3,1,4.981
trog_javitott,BL211,5.0,gramm,"A pöttyös labda nagyobb, mint a csíkos kancsó",2,1,3.91
trog_javitott,BL211,0.0,gramm,"A hal kék, de nem pöttyös.",1,1,3.298
trog_javitott,BL211,15.0,gramm,"A felhő, ami előtt a madár van, az lila.",4,1,4.861
trog_javitott,BL211,17.0,gramm,"A bohóc alszik, de az elefánt nem.",2,1,6.004
trog_javitott,BL211,2.0,gramm,A kisfiú palacsintát süt a bohócnak.,1,1,4.087
trog_javitott,BL211,1.0,gramm,"A zsiráfnak van egy hosszú, kockás, fekete-fehér nyakkendője.",4,1,6.107
trog_javitott,BL211,6.0,gramm,A sárga táska a zöld széken van,3,1,3.028
trog_javitott,BL211,3.0,gramm,A kecskét a kakas kergeti.,2,1,2.756
trog_javitott,BL211,12.0,gramm,"A sárkány, aki a szekrény mögé bújt, csokit eszik.",4,1,9.718
trog_javitott,BL211,8.0,gramm,"A fiú, aki megpuszilja a lányt, az barna hajú.",4,1,6.48
trog_javitott,BL211,1.0,pragm,A szarvas a tévét szereli meg.,1,1,3.941
trog_javitott,BL211,10.0,pragm,A fiú már elkészült a homokvárral.,4,0,4.633
trog_javitott,BL211,4.0,pragm,Pisti egy igazi éjszakai bagoly.,3,1,3.977
trog_javitott,BL211,11.0,pragm,A virágot már kiszínezte a bohóc.,4,1,12.956
trog_javitott,BL211,5.0,pragm,Julcsi húga nagyon nyuszi volt a mikulásünnepségen.,1,1,11.342
trog_javitott,BL211,14.0,pragm,Piros lufit minden gyerek kapott.,3,1,10.55
trog_javitott,BL211,15.0,pragm,Kalapja a libának is van.,3,0,10.598
trog_javitott,BL211,8.0,pragm,Néhány alma kigurult a kosárból.,1,1,7.752
trog_javitott,BL211,7.0,pragm,A legtöbb malac kapott kukoricát,2,1,12.382
trog_javitott,BL211,17.0,pragm,"Látom, lustálkodtál egész nap, meg is telt a kosár.",2,1,7.51
trog_javitott,BL211,3.0,pragm,A hegedűtanár egy sárkány.,3,0,7.996
trog_javitott,BL211,2.0,pragm,A szoba egy rettenetes disznóól.,3,0,4.831
trog_javitott,BL211,6.0,pragm,A kislánynak van legalább 3 kutyája.,3,0,15.594
trog_javitott,BL211,13.0,pragm,A fiú a békát is megfogta.,4,1,5.499
trog_javitott,BL211,9.0,pragm,A festő rajzolt egy házat.,2,1,11.478
trog_javitott,BL211,16.0,pragm,"De ügyes vagy, hogy eltörted a poharat.",2,0,7.51
trog_javitott,BL211,0.0,pragm,A malac locsolja meg a fát.,1,0,7.881
trog_javitott,BL211,12.0,pragm,A malac is felmászott a fára.,1,1,11.566
trog_javitott,FF170_2,10.0,gramm,"A boszorkány, aki a seprűn lovagol, ellopta a nyakláncot.",3,1,6.108
trog_javitott,FF170_2,0.0,gramm,"A hal kék, de nem pöttyös.",1,1,3.664
trog_javitott,FF170_2,3.0,gramm,A kecskét a kakas kergeti.,2,1,5.996
trog_javitott,FF170_2,2.0,gramm,A kisfiú palacsintát süt a bohócnak.,1,1,4.745
trog_javitott,FF170_2,1.0,gramm,"A zsiráfnak van egy hosszú, kockás, fekete-fehér nyakkendője.",4,1,6.341
trog_javitott,FF170_2,13.0,gramm,"A könyv azon a tányéron van, ami kék.",2,1,5.482
trog_javitott,FF170_2,16.0,gramm,"A róka, amit a malac kerget, az kicsi.",4,1,5.713
trog_javitott,FF170_2,7.0,gramm,A zöld csésze a kockás vödör fölött van.,4,1,6.781
trog_javitott,FF170_2,17.0,gramm,"A bohóc alszik, de az elefánt nem.",2,1,7.64
trog_javitott,FF170_2,8.0,gramm,"A fiú, aki megpuszilja a lányt, az barna hajú.",4,1,5.745
trog_javitott,FF170_2,11.0,gramm,"A kislány, aki a busz elejénél áll, piros szoknyában van.",4,1,6.995
trog_javitott,FF170_2,12.0,gramm,"A sárkány, aki a szekrény mögé bújt, csokit eszik.",4,1,6.342
trog_javitott,FF170_2,9.0,gramm,"A szív, ami a négyzetben van, az pöttyös.",3,1,6.868
trog_javitott,FF170_2,6.0,gramm,A sárga táska a zöld széken van,3,1,4.798
trog_javitott,FF170_2,15.0,gramm,"A felhő, ami előtt a madár van, az lila.",3,0,12.632
trog_javitott,FF170_2,4.0,gramm,A lány az ágyon ugrál és a macska a szőnyegen fekszik.,2,1,4.81
trog_javitott,FF170_2,5.0,gramm,"A pöttyös labda nagyobb, mint a csíkos kancsó",2,1,4.03
trog_javitott,FF170_2,14.0,gramm,"A lány azt a macskát kergeti, ami kövér.",2,1,5.798
trog_javitott,FF170_2,9.0,pragm,A festő rajzolt egy házat.,2,1,4.493
trog_javitott,FF170_2,2.0,pragm,A szoba egy rettenetes disznóól.,4,1,6.168
trog_javitott,FF170_2,6.0,pragm,A kislánynak van legalább 3 kutyája.,4,1,5.991
trog_javitott,FF170_2,1.0,pragm,A szarvas a tévét szereli meg.,1,1,7.989
trog_javitott,FF170_2,17.0,pragm,"Látom, lustálkodtál egész nap, meg is telt a kosár.",1,0,12.83
trog_javitott,FF170_2,4.0,pragm,Pisti egy igazi éjszakai bagoly.,3,1,7.831
trog_javitott,FF170_2,13.0,pragm,A fiú a békát is megfogta.,4,1,5.287
trog_javitott,FF170_2,16.0,pragm,"De ügyes vagy, hogy eltörted a poharat.",1,1,7.743
trog_javitott,FF170_2,10.0,pragm,A fiú már elkészült a homokvárral.,2,1,11.275
trog_javitott,FF170_2,8.0,pragm,Néhány alma kigurult a kosárból.,1,1,5.268
trog_javitott,FF170_2,7.0,pragm,A legtöbb malac kapott kukoricát,2,1,7.533
trog_javitott,FF170_2,14.0,pragm,Piros lufit minden gyerek kapott.,2,0,8.127
trog_javitott,FF170_2,0.0,pragm,A malac locsolja meg a fát.,2,0,6.592
trog_javitott,FF170_2,5.0,pragm,Julcsi húga nagyon nyuszi volt a mikulásünnepségen.,1,1,9.362
trog_javitott,FF170_2,15.0,pragm,Kalapja a libának is van.,1,1,9.28
trog_javitott,FF170_2,11.0,pragm,A virágot már kiszínezte a bohóc.,4,1,6.61
trog_javitott,FF170_2,12.0,pragm,A malac is felmászott a fára.,2,0,5.923
