experiment_version,ID,trial,condition,sentence,response,ACC,RT
adult_trog,1002,0.0,gramm,"A hal kék, de nem pöttyös.",1,1,2.608
adult_trog,1002,6.0,gramm,A sárga táska a zöld széken van,3,1,3.507
adult_trog,1002,9.0,gramm,"A szív, ami a négyzetben van, az pöttyös.",3,1,6.485
adult_trog,1002,10.0,gramm,"A boszorkány, aki a seprűn lovagol, ellopta a nyakláncot.",3,1,7.446
adult_trog,1002,13.0,gramm,"A könyv azon a tányéron van, ami kék.",2,1,4.584
adult_trog,1002,4.0,gramm,A lány az ágyon ugrál és a macska a szőnyegen fekszik.,2,1,7.284
adult_trog,1002,1.0,gramm,"A zsiráfnak van egy hosszú, kockás, fekete-fehér nyakkendője.",4,1,4.557
adult_trog,1002,8.0,gramm,"A fiú, aki megpuszilja a lányt, az barna hajú.",4,1,9.721
adult_trog,1002,11.0,gramm,"A kislány, aki a busz elejénél áll, piros szoknyában van.",4,1,6.339
adult_trog,1002,7.0,gramm,A zöld csésze a kockás vödör fölött van.,4,1,5.888
adult_trog,1002,16.0,gramm,"A róka, amit a malac kerget, az kicsi.",4,1,0.189
adult_trog,1002,2.0,gramm,A kisfiú palacsintát süt a bohócnak.,1,1,8.21
adult_trog,1002,3.0,gramm,A kecskét a kakas kergeti.,2,1,3.619
adult_trog,1002,5.0,gramm,"A pöttyös labda nagyobb, mint a csíkos kancsó",2,1,4.648
adult_trog,1002,15.0,gramm,"A felhő, ami előtt a madár van, az lila.",4,1,8.672
adult_trog,1002,14.0,gramm,"A lány azt a macskát kergeti, ami kövér.",2,1,4.587
adult_trog,1002,12.0,gramm,"A sárkány, aki a szekrény mögé bújt, csokit eszik.",4,1,6.394
adult_trog,1002,16.0,pragm,"De ügyes vagy, hogy eltörted a poharat.",1,1,11.972
adult_trog,1002,13.0,pragm,A fiú a békát is megfogta.,4,1,6.763
adult_trog,1002,15.0,pragm,Kalapja a libának is van.,1,1,4.504
adult_trog,1002,10.0,pragm,A fiú már elkészült a homokvárral.,4,0,14.402
adult_trog,1002,8.0,pragm,Néhány alma kigurult a kosárból.,1,1,4.743
adult_trog,1002,1.0,pragm,A szarvas a tévét szereli meg.,1,1,6.895
adult_trog,1002,5.0,pragm,Julcsi húga nagyon nyuszi volt a mikulásünnepségen.,1,1,10.999
adult_trog,1002,7.0,pragm,A legtöbb malac kapott kukoricát,2,1,8.046
adult_trog,1002,6.0,pragm,A kislánynak van legalább 3 kutyája.,4,1,6.394
adult_trog,1002,11.0,pragm,A virágot már kiszínezte a bohóc.,4,1,27.554
adult_trog,1002,14.0,pragm,Piros lufit minden gyerek kapott.,2,0,7.825
adult_trog,1002,4.0,pragm,Pisti egy igazi éjszakai bagoly.,3,1,4.875
adult_trog,1002,12.0,pragm,A malac is felmászott a fára.,1,1,4.592
adult_trog,1002,2.0,pragm,A szoba egy rettenetes disznóól.,4,1,9.152
adult_trog,1002,3.0,pragm,A hegedűtanár egy sárkány.,2,1,11.921
adult_trog,1002,0.0,pragm,A malac locsolja meg a fát.,1,0,6.679
adult_trog,1002,17.0,pragm,"Látom, lustálkodtál egész nap, meg is telt a kosár.",1,0,7.41
adult_trog,1002,9.0,pragm,A festő rajzolt egy házat.,2,1,5.869
adult_trog,1001,6.0,gramm,A sárga táska a zöld széken van,3,1,4.573245
adult_trog,1001,0.0,gramm,"A hal kék, de nem pöttyös.",1,1,2.229665
adult_trog,1001,7.0,gramm,A zöld csésze a kockás vödör fölött van.,4,1,4.734595
adult_trog,1001,14.0,gramm,"A lány azt a macskát kergeti, ami kövér.",2,1,4.50477
adult_trog,1001,5.0,gramm,"A pöttyös labda nagyobb, mint a csíkos kancsó",2,1,2.844215
adult_trog,1001,9.0,gramm,"A szív, ami a négyzetben van, az pöttyös.",3,1,3.845185
adult_trog,1001,4.0,gramm,A lány az ágyon ugrál és a macska a szőnyegen fekszik.,2,1,3.56237
